trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
741,True,"{'a': 0.0, 'e': 0.0}",25,11,26.675720050912215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,True,"{'a': 0.0, 'e': 0.0}",20,16,5.880171778580151,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,True,"{'a': 0.0, 'e': 0.0}",20,7,25.014812754920754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,True,"{'a': 0.0, 'e': 0.0}",30,21,17.85406932028288,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,True,"{'a': 0.0, 'e': 0.0}",30,12,34.39586350149814,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,True,"{'a': 0.0, 'e': 0.0}",30,18,24.243787365134086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,True,"{'a': 0.0, 'e': 0.0}",25,18,14.223499243814876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,True,"{'a': 0.0, 'e': 0.0}",25,13,23.71795608692182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,True,"{'a': 0.0, 'e': 0.0}",30,14,28.140299633041664,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,True,"{'a': 0.0, 'e': 0.0}",20,7,22.212234029069528,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,True,"{'a': 0.0, 'e': 0.0}",35,23,21.39090871154753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,True,"{'a': 0.0, 'e': 0.0}",30,17,23.869530558734898,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,True,"{'a': 0.0, 'e': 0.0}",20,14,10.385337581381837,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,True,"{'a': 0.0, 'e': 0.0}",20,16,10.528311950720397,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,True,"{'a': 0.0, 'e': 0.0}",25,15,18.126068292466638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,True,"{'a': 0.0, 'e': 0.0}",20,13,11.91575441225404,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,True,"{'a': 0.0, 'e': 0.0}",25,15,21.577702153685088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,True,"{'a': 0.0, 'e': 0.0}",35,21,27.551014634875784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,True,"{'a': 0.0, 'e': 0.0}",30,16,26.317925524419913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,True,"{'a': 0.0, 'e': 0.0}",25,12,22.033406593502427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,True,"{'a': 0.0, 'e': 0.0}",30,19,21.17143884551008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,True,"{'a': 0.0, 'e': 0.0}",35,22,23.29293082349403,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,True,"{'a': 0.0, 'e': 0.0}",25,16,16.349105550290528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,True,"{'a': 0.0, 'e': 0.0}",20,4,28.914605374072778,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,True,"{'a': 0.0, 'e': 0.0}",30,14,31.477982146528095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,True,"{'a': 0.0, 'e': 0.0}",25,11,28.1474241314386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,True,"{'a': 0.0, 'e': 0.0}",20,13,12.001556414919296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,True,"{'a': 0.0, 'e': 0.0}",20,3,32.870577587050505,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,True,"{'a': 0.0, 'e': 0.0}",30,16,26.788601220794114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,True,"{'a': 0.0, 'e': 0.0}",25,11,27.01684952662289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,True,"{'a': 0.0, 'e': 0.0}",20,8,23.358527342588772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,True,"{'a': 0.0, 'e': 0.0}",20,14,12.815304441110385,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,True,"{'a': 0.0, 'e': 0.0}",30,13,30.017016273815035,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,True,"{'a': 0.0, 'e': 0.0}",20,10,21.51363544661297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,True,"{'a': 0.0, 'e': 0.0}",20,10,18.253710548136365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
